Quarter,Tick,Barangay_ID,Barangay_Name,Total_Budget_PHP,LGU_Allocation_PHP,LGU_Share_Percent,Local_Base_PHP,IEC_Alloc_PHP,IEC_Percent,Enf_Alloc_PHP,Enf_Percent,Inc_Alloc_PHP,Inc_Percent,IEC_Intensity_Score,Enf_Intensity_Score,Incentive_Value_Per_Capita,Avg_Attitude,Avg_SocialNorm,Avg_PBC,Avg_Utility,Compliance_Rate,Active_Enforcers,Political_Capital
7,540,BGY_1,Brgy Ezperanza,41876.09,19376.09,5.17%,22500.00,10970.04,26.2%,17725.39,42.3%,13180.65,31.5%,0.0294,0.0473,22.96,0.810,0.918,0.323,0.605,98.61%,3,1.0000
7,540,BGY_2,Brgy Poblacion,136648.36,86648.36,23.11%,50000.00,38848.02,28.4%,58921.39,43.1%,38878.95,28.5%,0.0390,0.1571,25.34,0.876,0.920,0.254,0.359,99.22%,8,1.0000
7,540,BGY_3,Brgy Binuni,223389.61,191797.11,51.15%,31592.50,70335.29,31.5%,76178.75,34.1%,76875.58,34.4%,0.2134,0.2031,151.63,-0.000,0.452,0.311,-0.057,46.55%,11,1.0000
7,540,BGY_4,Brgy Demologan,24551.42,19301.42,5.15%,5250.00,6734.06,27.4%,10874.36,44.3%,6942.99,28.3%,0.0224,0.0290,15.00,0.790,0.912,0.293,0.570,97.84%,1,1.0000
7,540,BGY_5,Brgy Mati,39277.12,19277.12,5.14%,20000.00,10425.68,26.5%,12432.66,31.7%,16418.79,41.8%,0.0972,0.0332,99.51,0.872,0.674,0.301,0.470,96.97%,2,1.0000
7,540,BGY_6,Brgy Babalaya,23049.01,19299.01,5.15%,3750.00,6610.40,28.7%,9822.98,42.6%,6615.62,28.7%,0.0595,0.0262,38.69,0.950,0.750,0.308,1.179,99.42%,1,1.0000
8,630,BGY_0,Brgy Liangan East,43293.46,35793.46,9.54%,7500.00,12724.30,29.4%,13855.80,32.0%,16713.37,38.6%,0.0322,0.0369,27.49,0.791,0.915,0.329,0.664,98.03%,2,1.0000
8,630,BGY_1,Brgy Ezperanza,58350.64,35850.64,9.56%,22500.00,16486.60,28.3%,23224.46,39.8%,18639.57,31.9%,0.0442,0.0619,32.47,0.797,0.918,0.323,0.598,97.74%,3,1.0000
8,630,BGY_2,Brgy Poblacion,210678.27,160678.27,42.85%,50000.00,63468.03,30.1%,83592.23,39.7%,63618.01,30.2%,0.0637,0.2229,41.47,0.871,0.920,0.254,0.355,98.44%,12,1.0000
8,630,BGY_3,Brgy Binuni,67115.75,35523.25,9.47%,31592.50,18164.65,27.1%,24421.35,36.4%,24529.74,36.5%,0.0551,0.0651,48.38,0.891,0.911,0.311,1.020,98.22%,4,1.0000
8,630,BGY_4,Brgy Demologan,41004.03,35754.03,9.53%,5250.00,12247.02,29.9%,16332.51,39.8%,12424.49,30.3%,0.0407,0.0436,26.83,0.791,0.911,0.293,0.568,97.19%,3,1.0000
8,630,BGY_5,Brgy Mati,55675.86,35675.86,9.51%,20000.00,15900.39,28.6%,17902.88,32.2%,21872.59,39.3%,0.1483,0.0477,132.56,0.864,0.674,0.301,0.456,96.97%,2,1.0000
8,630,BGY_6,Brgy Babalaya,39474.49,35724.49,9.53%,3750.00,12074.53,30.6%,15323.18,38.8%,12076.77,30.6%,0.1086,0.0409,70.62,0.809,0.733,0.308,0.786,93.57%,3,1.0000
9,720,BGY_0,Brgy Liangan East,43293.95,35793.95,9.55%,7500.00,12724.82,29.4%,13856.44,32.0%,16712.69,38.6%,0.0322,0.0370,27.49,0.794,0.915,0.329,0.675,98.68%,2,1.0000
9,720,BGY_1,Brgy Ezperanza,58354.06,35854.06,9.56%,22500.00,16487.19,28.3%,23226.30,39.8%,18640.57,31.9%,0.0442,0.0619,32.47,0.803,0.918,0.323,0.607,99.48%,3,1.0000
9,720,BGY_2,Brgy Poblacion,210680.92,160680.92,42.85%,50000.00,63467.83,30.1%,83595.00,39.7%,63618.09,30.2%,0.0637,0.2229,41.47,0.889,0.920,0.254,0.396,98.83%,12,1.0000
9,720,BGY_3,Brgy Binuni,67112.65,35520.15,9.47%,31592.50,18163.91,27.1%,24419.39,36.4%,24529.36,36.5%,0.0551,0.0651,48.38,0.890,0.911,0.311,0.914,99.61%,4,1.0000
9,720,BGY_4,Brgy Demologan,41003.39,35753.39,9.53%,5250.00,12248.15,29.9%,16331.95,39.8%,12423.29,30.3%,0.0407,0.0436,26.83,0.791,0.911,0.293,0.580,97.84%,3,1.0000
9,720,BGY_5,Brgy Mati,55673.64,35673.64,9.51%,20000.00,15899.67,28.6%,17902.50,32.2%,21871.47,39.3%,0.1482,0.0477,132.55,0.872,0.675,0.301,0.493,96.97%,3,1.0000
9,720,BGY_6,Brgy Babalaya,39473.89,35723.89,9.53%,3750.00,12074.59,30.6%,15322.52,38.8%,12076.78,30.6%,0.1086,0.0409,70.62,0.853,0.735,0.308,0.828,94.74%,3,1.0000
10,810,BGY_0,Brgy Liangan East,43293.52,35793.52,9.54%,7500.00,12724.54,29.4%,13857.01,32.0%,16711.97,38.6%,0.0322,0.0370,27.49,0.795,0.915,0.329,0.677,98.68%,2,1.0000
10,810,BGY_1,Brgy Ezperanza,58354.99,35854.99,9.56%,22500.00,16487.31,28.3%,23227.16,39.8%,18640.52,31.9%,0.0442,0.0619,32.47,0.805,0.918,0.323,0.605,98.78%,4,1.0000
10,810,BGY_2,Brgy Poblacion,210682.53,160682.53,42.85%,50000.00,63467.06,30.1%,83598.17,39.7%,63617.29,30.2%,0.0637,0.2229,41.47,0.889,0.920,0.254,0.396,98.37%,12,1.0000
10,810,BGY_3,Brgy Binuni,67112.43,35519.93,9.47%,31592.50,18163.87,27.1%,24419.11,36.4%,24529.46,36.5%,0.0551,0.0651,48.38,0.887,0.911,0.311,0.917,99.61%,3,1.0000
10,810,BGY_4,Brgy Demologan,41002.72,35752.72,9.53%,5250.00,12248.19,29.9%,16331.38,39.8%,12423.14,30.3%,0.0407,0.0436,26.83,0.791,0.912,0.293,0.578,98.70%,2,1.0000
10,810,BGY_5,Brgy Mati,55672.85,35672.85,9.51%,20000.00,15899.51,28.6%,17902.22,32.2%,21871.11,39.3%,0.1482,0.0477,132.55,0.874,0.675,0.301,0.490,96.97%,2,1.0000
10,810,BGY_6,Brgy Babalaya,39473.50,35723.50,9.53%,3750.00,12074.57,30.6%,15322.80,38.8%,12076.13,30.6%,0.1086,0.0409,70.62,0.859,0.736,0.308,0.835,94.74%,3,1.0000
11,900,BGY_0,Brgy Liangan East,43292.20,35792.20,9.54%,7500.00,12724.20,29.4%,13856.66,32.0%,16711.34,38.6%,0.0322,0.0370,27.49,0.795,0.915,0.329,0.675,98.03%,2,1.0000
11,900,BGY_1,Brgy Ezperanza,58354.88,35854.88,9.56%,22500.00,16487.84,28.3%,23226.11,39.8%,18640.93,31.9%,0.0442,0.0619,32.48,0.805,0.918,0.323,0.609,99.30%,3,1.0000
11,900,BGY_2,Brgy Poblacion,210684.16,160684.16,42.85%,50000.00,63465.61,30.1%,83600.16,39.7%,63618.39,30.2%,0.0637,0.2229,41.47,0.891,0.920,0.254,0.397,99.15%,12,1.0000
11,900,BGY_3,Brgy Binuni,67113.91,35521.41,9.47%,31592.50,18164.44,27.1%,24419.51,36.4%,24529.96,36.5%,0.0551,0.0651,48.38,0.890,0.911,0.311,0.922,99.01%,3,1.0000
11,900,BGY_4,Brgy Demologan,41001.77,35751.77,9.53%,5250.00,12248.39,29.9%,16330.53,39.8%,12422.85,30.3%,0.0407,0.0435,26.83,0.792,0.912,0.293,0.581,97.62%,3,1.0000
11,900,BGY_5,Brgy Mati,55672.73,35672.73,9.51%,20000.00,15900.08,28.6%,17901.34,32.2%,21871.32,39.3%,0.1483,0.0477,132.55,0.876,0.676,0.301,0.493,96.97%,2,1.0000
11,900,BGY_6,Brgy Babalaya,39472.80,35722.80,9.53%,3750.00,12074.46,30.6%,15322.91,38.8%,12075.44,30.6%,0.1086,0.0409,70.62,0.848,0.734,0.308,0.820,92.98%,2,1.0000
12,990,BGY_0,Brgy Liangan East,43290.80,35790.80,9.54%,7500.00,12723.94,29.4%,13856.48,32.0%,16710.39,38.6%,0.0322,0.0370,27.48,0.795,0.915,0.329,0.678,98.68%,2,1.0000
12,990,BGY_1,Brgy Ezperanza,58355.12,35855.12,9.56%,22500.00,16488.01,28.3%,23225.81,39.8%,18641.30,31.9%,0.0442,0.0619,32.48,0.810,0.918,0.323,0.611,98.78%,4,1.0000
12,990,BGY_2,Brgy Poblacion,210686.48,160686.48,42.85%,50000.00,63463.34,30.1%,83604.52,39.7%,63618.64,30.2%,0.0636,0.2229,41.47,0.890,0.920,0.254,0.397,98.76%,12,1.0000
12,990,BGY_3,Brgy Binuni,67114.35,35521.85,9.47%,31592.50,18164.55,27.1%,24419.45,36.4%,24530.35,36.6%,0.0551,0.0651,48.38,0.890,0.911,0.311,0.913,98.82%,4,1.0000
12,990,BGY_4,Brgy Demologan,41001.03,35751.03,9.53%,5250.00,12248.07,29.9%,16329.92,39.8%,12423.04,30.3%,0.0407,0.0435,26.83,0.791,0.911,0.293,0.579,97.41%,3,1.0000
12,990,BGY_5,Brgy Mati,55671.91,35671.91,9.51%,20000.00,15900.01,28.6%,17901.04,32.2%,21870.87,39.3%,0.1483,0.0477,132.55,0.878,0.676,0.301,0.498,96.36%,3,1.0000
12,990,BGY_6,Brgy Babalaya,39472.79,35722.79,9.53%,3750.00,12074.30,30.6%,15323.51,38.8%,12074.98,30.6%,0.1086,0.0409,70.61,0.839,0.736,0.308,0.810,92.40%,2,1.0000
