Quarter,Tick,Barangay_ID,Barangay_Name,Total_Budget_PHP,LGU_Allocation_PHP,LGU_Share_Percent,Local_Base_PHP,IEC_Alloc_PHP,IEC_Percent,Enf_Alloc_PHP,Enf_Percent,Inc_Alloc_PHP,Inc_Percent,IEC_Intensity_Score,Enf_Intensity_Score,Incentive_Value_Per_Capita,Avg_Attitude,Avg_SocialNorm,Avg_PBC,Avg_Utility,Compliance_Rate,Active_Enforcers,Political_Capital
10,810,BGY_2,Brgy Poblacion,103571.43,53571.43,14.29%,50000.00,63571.43,61.4%,30000.00,29.0%,10000.00,9.7%,1.0000,0.5000,500.00,0.009,0.407,0.254,-0.120,6.98%,1,0.0000
10,810,BGY_3,Brgy Binuni,85163.93,53571.43,14.29%,31592.50,59889.93,70.3%,12637.00,14.8%,12637.00,14.8%,0.8333,0.5000,500.00,0.605,0.913,0.311,0.938,88.36%,0,0.0000
10,810,BGY_4,Brgy Demologan,58821.43,53571.43,14.29%,5250.00,53833.93,91.5%,4462.50,7.6%,525.00,0.9%,0.6667,0.5000,500.00,-0.283,0.913,0.293,0.159,86.18%,0,0.0000
10,810,BGY_5,Brgy Mati,73571.43,53571.43,14.29%,20000.00,57571.43,78.3%,6000.00,8.2%,10000.00,13.6%,0.8333,0.5000,500.00,-0.072,0.337,0.301,-0.176,9.70%,0,0.0000
10,810,BGY_6,Brgy Babalaya,57321.43,53571.43,14.29%,3750.00,53758.93,93.8%,3375.00,5.9%,187.50,0.3%,0.6667,0.5000,500.00,-0.204,0.780,0.308,0.386,71.35%,0,0.0000
11,900,BGY_0,Brgy Liangan East,61071.43,53571.43,14.29%,7500.00,54321.43,88.9%,1875.00,3.1%,4875.00,8.0%,0.6667,0.5000,500.00,-0.220,0.916,0.329,0.220,87.99%,0,0.0000
11,900,BGY_1,Brgy Ezperanza,76071.43,53571.43,14.29%,22500.00,58071.43,76.3%,11250.00,14.8%,6750.00,8.9%,0.8333,0.5000,500.00,0.564,0.918,0.323,0.660,87.98%,0,0.0000
11,900,BGY_2,Brgy Poblacion,103571.43,53571.43,14.29%,50000.00,63571.43,61.4%,30000.00,29.0%,10000.00,9.7%,1.0000,0.5000,500.00,0.014,0.417,0.254,-0.117,7.30%,1,0.0000
11,900,BGY_3,Brgy Binuni,85163.93,53571.43,14.29%,31592.50,59889.93,70.3%,12637.00,14.8%,12637.00,14.8%,0.8333,0.5000,500.00,0.596,0.913,0.311,0.862,87.18%,0,0.0000
11,900,BGY_4,Brgy Demologan,58821.43,53571.43,14.29%,5250.00,53833.93,91.5%,4462.50,7.6%,525.00,0.9%,0.6667,0.5000,500.00,-0.203,0.914,0.293,0.159,85.96%,0,0.0000
11,900,BGY_5,Brgy Mati,73571.43,53571.43,14.29%,20000.00,57571.43,78.3%,6000.00,8.2%,10000.00,13.6%,0.8333,0.5000,500.00,-0.082,0.344,0.301,-0.172,10.91%,0,0.0000
11,900,BGY_6,Brgy Babalaya,57321.43,53571.43,14.29%,3750.00,53758.93,93.8%,3375.00,5.9%,187.50,0.3%,0.6667,0.5000,500.00,-0.208,0.779,0.308,0.376,69.59%,0,0.0000
12,990,BGY_0,Brgy Liangan East,61071.43,53571.43,14.29%,7500.00,54321.43,88.9%,1875.00,3.1%,4875.00,8.0%,0.6667,0.5000,500.00,-0.215,0.916,0.329,0.217,87.83%,0,0.0000
12,990,BGY_1,Brgy Ezperanza,76071.43,53571.43,14.29%,22500.00,58071.43,76.3%,11250.00,14.8%,6750.00,8.9%,0.8333,0.5000,500.00,0.562,0.918,0.323,0.635,89.02%,0,0.0000
12,990,BGY_2,Brgy Poblacion,103571.43,53571.43,14.29%,50000.00,63571.43,61.4%,30000.00,29.0%,10000.00,9.7%,1.0000,0.5000,500.00,0.013,0.419,0.254,-0.110,8.41%,1,0.0000
12,990,BGY_3,Brgy Binuni,85163.93,53571.43,14.29%,31592.50,59889.93,70.3%,12637.00,14.8%,12637.00,14.8%,0.8333,0.5000,500.00,0.604,0.913,0.311,0.917,89.15%,0,0.0000
12,990,BGY_4,Brgy Demologan,58821.43,53571.43,14.29%,5250.00,53833.93,91.5%,4462.50,7.6%,525.00,0.9%,0.6667,0.5000,500.00,-0.303,0.913,0.293,0.161,82.94%,0,0.0000
12,990,BGY_5,Brgy Mati,73571.43,53571.43,14.29%,20000.00,57571.43,78.3%,6000.00,8.2%,10000.00,13.6%,0.8333,0.5000,500.00,-0.082,0.337,0.301,-0.170,10.91%,0,0.0000
12,990,BGY_6,Brgy Babalaya,57321.43,53571.43,14.29%,3750.00,53758.93,93.8%,3375.00,5.9%,187.50,0.3%,0.6667,0.5000,500.00,-0.199,0.782,0.308,0.386,76.61%,0,0.0000
